title,make,model,year,condition,transmission,price
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Gray,Mercedes-Benz,GLE-Class GLE,2016,local used,automatic,"₦ 35,000,000"
Toyota Camry LE (2.5L 4cyl 8A) 2019 White,Toyota,Camry LE,2019,,automatic,"₦ 19,300,000"
Lexus ES 2013 Silver,Lexus,ES,2013,,automatic,"₦ 15,000,000"
Honda Accord 2.0 Comfort Automatic 2005 Gray,Honda,Accord 2,2005,local used,automatic,"₦ 2,950,000"
Mercedes-Benz GLK-Class Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A) 2015,Mercedes-Benz,GLK-Class Base,2015,,automatic,"₦ 26,000,000"
Toyota Sienna LE 7 Passenger 2011 Gray,Toyota,Sienna LE,2011,,automatic,"₦ 17,000,000"
Toyota Venza 2014 Black,Toyota,Venza,2014,,automatic,"₦ 22,500,000"
Lexus RX 350 2012 Black,Lexus,RX 350,2012,local used,automatic,"₦ 14,300,000"
Lexus RX 300 1999 Silver,Lexus,RX 300,1999,local used,automatic,"₦ 3,080,000"
Toyota Corolla 2015 Silver,Toyota,Corolla,2015,,automatic,"₦ 15,950,000"
BMW X3 2007 Black,BMW,X3,2007,local used,automatic,"₦ 5,500,000"
Ford Explorer 2012 Black,Ford,Explorer,2012,local used,automatic,"₦ 8,800,000"
Toyota Sienna 2007 White,Toyota,Sienna,2007,local used,automatic,"₦ 9,180,000"
Toyota Corolla 2013 Gray,Toyota,Corolla,2013,,automatic,"₦ 14,040,000"
Nissan Rogue 2012 Gray,Nissan,Rogue,2012,local used,automatic,"₦ 5,500,000"
Toyota 4-Runner 2006 Gray,Toyota,4-Runner,2006,local used,automatic,"₦ 7,560,000"
Honda Pilot 2011 Gray,Honda,Pilot,2011,local used,automatic,"₦ 5,830,000"
Hyundai Ix35 1.6 2012 Blue,Hyundai,Ix35 1,2012,local used,automatic,"₦ 8,800,000"
Mercedes-Benz GLE-Class GLE 550 4MATIC 2016 Gray,Mercedes-Benz,GLE-Class GLE,2016,local used,automatic,"₦ 23,430,000"
New Hyundai Sonata 2010 Silver,New,Hyundai Sonata,2010,new,automatic,"₦ 11,000,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,,automatic,"₦ 22,680,000"
Volkswagen Beetle 2010 Silver,Volkswagen,Beetle,2010,local used,manual,"₦ 4,400,000"
Toyota Highlander 2017 Burgandy,Toyota,Highlander,2017,local used,automatic,"₦ 33,480,000"
New Changan X7 Plus 2025 Black,New,Changan X7,2025,new,automatic,"₦ 47,850,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 432,000,086"
Hyundai Sonata 2012 Silver,Hyundai,Sonata,2012,,automatic,"₦ 12,960,000"
Mazda CX-9 2012 Gray,Mazda,CX-9,2012,local used,automatic,"₦ 7,150,000"
Toyota Camry 2009 Silver,Toyota,Camry,2009,local used,automatic,"₦ 5,313,000"
Land Rover Range Rover Vogue 2008 Black,Land,Rover Range,2008,local used,automatic,"₦ 9,350,000"
Nissan Pathfinder 2006 Red,Nissan,Pathfinder,2006,local used,automatic,"₦ 3,850,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,"₦ 6,480,000"
Mercedes-Benz C250 2013 Brown,Mercedes-Benz,C250,2013,local used,automatic,"₦ 9,936,000"
Toyota Camry 2014 Gray,Toyota,Camry,2014,,automatic,"₦ 16,200,000"
Mercedes-Benz E350 2010 Blue,Mercedes-Benz,E350,2010,local used,automatic,"₦ 9,680,000"
Hyundai Santa Fe 2009 Gray,Hyundai,Santa Fe,2009,,automatic,"₦ 12,650,000"
Toyota Camry 2012 Red,Toyota,Camry,2012,,automatic,"₦ 18,900,000"
Toyota Camry 2009 Blue,Toyota,Camry,2009,local used,automatic,"₦ 5,940,000"
Toyota Sienna XLE 7 Passenger (3.5L 6cyl 8A) 2017 Blue,Toyota,Sienna XLE,2017,,automatic,"₦ 31,000,000"
Toyota 4-Runner Limited 4x4 V6 2006 Black,Toyota,4-Runner Limited,2006,local used,automatic,"₦ 9,500,000"
Volkswagen Golf 2004 Blue,Volkswagen,Golf,2004,,manual,"₦ 6,000,000"
Nissan Frontier SE-V6 4x4 Long Bed Crew Cab 131 in. WB 2002 White,Nissan,Frontier SE-V6,2002,local used,automatic,"₦ 8,500,000"
Toyota Tundra 2011 Gray,Toyota,Tundra,2011,,automatic,"₦ 15,500,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 White,Mercedes-Benz,C300 Sport,2016,,automatic,"₦ 22,500,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2011 Black,Mercedes-Benz,C300 Luxury,2011,,automatic,"₦ 14,000,000"
Toyota C-HR 2019 Black,Toyota,C-HR,2019,,automatic,"₦ 36,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Blue,Toyota,Camry SE,2014,,automatic,"₦ 16,000,000"
Honda Accord Touring V-6 4dr Sedan (3.5L 6cyl 6A) 2015 Maroon,Honda,Accord Touring,2015,,automatic,"₦ 16,000,000"
Honda Accord 2014 Gray,Honda,Accord,2014,,automatic,"₦ 15,500,000"
Toyota Venza 2012 Black,Toyota,Venza,2012,local used,automatic,"₦ 15,500,000"
Honda Civic 2008 Black,Honda,Civic,2008,local used,automatic,"₦ 4,500,000"
